Language Pair	Evaluation Type	Team	Accuracy	Word Accuracy	Recall
en-de	best	colibrita-ep7os12-Z	0.699	0.749	0.9979959919839679
en-de	best	IUCL-run2	0.665	0.722	1.0
en-de	best	CNRC-run1	0.657	0.717	1.0
en-de	best	colibrita-ep7os12-Xl1r1	0.659	0.716	0.9979959919839679
en-de	best	colibrita-ep7os12-Zl1r1	0.645	0.703	0.9979959919839679
en-de	best	CNRC-run2	0.645	0.702	1.0
en-de	best	colibrita-ep7os12-Flm	0.623	0.686	1.0
en-de	best	colibrita-ep7os12-l1r1Flm	0.595	0.671	1.0
en-de	best	colibrita-ep7os12-l1r1lm	0.593	0.646	0.9278557114228457
en-de	best	colibrita-ep7os12-l1r1F	0.581	0.643	1.0
en-de	best	colibrita-ep7os12-l1r1	0.581	0.642	0.9278557114228457
en-de	best	colibrita-ep7os12-F	0.531	0.612	1.0
en-de	best	colibrita-ep7os12-baseline	0.513	0.577	0.9278557114228457
en-de	best	TeamZ-run1	0.218	0.293	0.8517034068136272
en-de	best	IUCL-run1	0.198	0.252	1.0
en-de	best	Sensible-wtmxlingyu	0.162	0.233	0.8777555110220441
en-de	best	Sensible-wtm	0.16	0.184	0.6472945891783567
en-de	best	Sensible-wtmxling	0.152	0.178	0.6472945891783567
en-de	oof	CNRC-run1	0.834	0.868	1.0
en-de	oof	CNRC-run2	0.828	0.865	1.0
en-de	oof	IUCL-run2	0.806	0.857	1.0
en-de	oof	TeamZ-run1	0.307	0.385	0.8517034068136272
en-de	oof	IUCL-run1	0.228	0.317	1.0
en-de	oof	Sensible-wtmxlingyu	0.18	0.306	0.8777555110220441
en-de	oof	Sensible-wtm	0.182	0.256	0.6472945891783567
en-de	oof	Sensible-wtmxling	0.174	0.25	0.6472945891783567
en-es	best	UEdin-run2	0.755	0.827	1.0
en-es	best	UEdin-run1	0.753	0.827	1.0
en-es	best	UEdin-run3	0.745	0.82	1.0
en-es	best	UNAL-run2	0.733	0.809	0.9939759036144579
en-es	best	UNAL-run1	0.721	0.794	0.9939759036144579
en-es	best	colibrita-ep7os12-Z	0.683	0.775	1.0
en-es	best	colibrita-ep7os12-Xl1r1	0.667	0.762	1.0
en-es	best	colibrita-ep7os12-Zl1r1	0.661	0.76	1.0
en-es	best	colibrita-ep7os12-l1r1Flm	0.641	0.746	1.0
en-es	best	colibrita-ep7os12-Flm	0.657	0.746	1.0
en-es	best	CNRC-run1	0.667	0.745	1.0
en-es	best	colibrita-ep7os12-l1r1Flm5	0.639	0.739	1.0
en-es	best	CNRC-run2	0.651	0.735	1.0
en-es	best	colibrita-ep7os12-l1r1lm	0.641	0.727	0.9538152610441767
en-es	best	colibrita-ep7os12-l1r1lm5	0.639	0.723	0.9538152610441767
en-es	best	IUCL-run1	0.633	0.72	1.0
en-es	best	IUCL-run2	0.633	0.72	1.0
en-es	best	colibrita-ep7os12-l1r1F	0.608	0.715	1.0
en-es	best	colibrita-ep7os12-l1r1	0.596	0.69	0.9538152610441767
en-es	best	colibrita-ep7os12-baseline	0.544	0.651	0.9538152610441767
en-es	best	Sensible-wtmxlingyu	0.239	0.351	0.8192771084337349
en-es	best	TeamZ-run1	0.223	0.333	0.751004016064257
en-es	best	Sensible-wtm	0.145	0.175	0.46987951807228917
en-es	best	Sensible-wtmxling	0.141	0.171	0.46987951807228917
en-es	oof	UEdin-run3	0.928	0.949	1.0
en-es	oof	UEdin-run1	0.924	0.946	1.0
en-es	oof	UEdin-run2	0.92	0.944	1.0
en-es	oof	CNRC-run1	0.843	0.887	1.0
en-es	oof	CNRC-run2	0.837	0.884	1.0
en-es	oof	UNAL-run1	0.823	0.88	0.9939759036144579
en-es	oof	IUCL-run1	0.781	0.847	1.0
en-es	oof	IUCL-run2	0.781	0.847	1.0
en-es	oof	Sensible-wtmxlingyu	0.263	0.416	0.8192771084337349
en-es	oof	TeamZ-run1	0.277	0.386	0.751004016064257
en-es	oof	Sensible-wtm	0.173	0.231	0.46987951807228917
en-es	oof	Sensible-wtmxling	0.169	0.228	0.46987951807228917
fr-en	best	UEdin-run1	0.733	0.824	1.0
fr-en	best	UEdin-run2	0.731	0.821	1.0
fr-en	best	UEdin-run3	0.723	0.816	1.0
fr-en	best	colibrita-ep7os12-Z	0.57	0.703	0.997979797979798
fr-en	best	CNRC-run1	0.556	0.694	1.0
fr-en	best	colibrita-ep7os12-Xl1r1	0.541	0.689	0.997979797979798
fr-en	best	CNRC-run2	0.533	0.686	1.0
fr-en	best	IUCL-run1	0.545	0.682	1.0
fr-en	best	IUCL-run2	0.545	0.682	1.0
fr-en	best	colibrita-ep7os12-Zl1r1	0.523	0.678	0.997979797979798
fr-en	best	colibrita-ep7os12-Flm	0.543	0.673	1.0
fr-en	best	colibrita-ep7os12-F	0.499	0.642	1.0
fr-en	best	colibrita-ep7os12-l1r1F	0.479	0.635	1.0
fr-en	best	colibrita-ep7os12-l1r1Flm	0.469	0.629	1.0
fr-en	best	colibrita-ep7os12-l1r1lm	0.461	0.556	0.802020202020202
fr-en	best	colibrita-ep7os12-baseline	0.448	0.538	0.802020202020202
fr-en	best	colibrita-ep7os12-l1r1	0.428	0.531	0.802020202020202
fr-en	best	Sensible-wtmxlingyu	0.081	0.116	0.3212121212121212
fr-en	best	Sensible-wtm	0.055	0.067	0.2101010101010101
fr-en	best	Sensible-wtmxling	0.055	0.067	0.2101010101010101
fr-en	oof	UEdin-run2	0.909	0.939	1.0
fr-en	oof	UEdin-run1	0.905	0.938	1.0
fr-en	oof	UEdin-run3	0.907	0.937	1.0
fr-en	oof	CNRC-run1	0.739	0.839	1.0
fr-en	oof	CNRC-run2	0.731	0.834	1.0
fr-en	oof	IUCL-run1	0.691	0.8	1.0
fr-en	oof	IUCL-run2	0.691	0.8	1.0
fr-en	oof	Sensible-wtmxlingyu	0.085	0.14	0.3212121212121212
fr-en	oof	Sensible-wtmxling	0.061	0.09	0.2101010101010101
fr-en	oof	Sensible-wtm	0.061	0.089	0.2101010101010101
nl-en	best	UEdin-run1	0.575	0.692	1.0
nl-en	best	UEdin-run2	0.567	0.688	1.0
nl-en	best	UEdin-run3	0.565	0.688	1.0
nl-en	best	IUCL-run1	0.544	0.679	1.0
nl-en	best	IUCL-run2	0.544	0.679	1.0
nl-en	best	colibrita-ep7os12-Z	0.478	0.636	1.0
nl-en	best	colibrita-ep7os12-Xl1r1	0.458	0.626	1.0
nl-en	best	colibrita-ep7os12-Zl1r1	0.446	0.616	1.0
nl-en	best	CNRC-run1	0.45	0.61	1.0
nl-en	best	CNRC-run2	0.444	0.609	1.0
nl-en	best	colibrita-ep7os12-Flm	0.415	0.577	1.0
nl-en	best	colibrita-ep7os12-F	0.405	0.568	1.0
nl-en	best	colibrita-ep7os12-l1r1Flm	0.327	0.527	1.0
nl-en	best	colibrita-ep7os12-l1r1F	0.326	0.394	1.0
nl-en	best	colibrita-ep7os12-l1r1lm	0.316	0.387	0.6023391812865497
nl-en	best	colibrita-ep7os12-l1r1	0.324	0.386	0.6023391812865497
nl-en	best	colibrita-ep7os12-baseline	0.304	0.365	0.6023391812865497
nl-en	best	Sensible-wtmxlingyu	0.115	0.152	0.33528265107212474
nl-en	best	Sensible-wtm	0.092	0.099	0.21442495126705652
nl-en	best	Sensible-wtmxling	0.088	0.095	0.21442495126705652
nl-en	oof	UEdin-run1	0.733	0.811	1.0
nl-en	oof	UEdin-run3	0.727	0.808	1.0
nl-en	oof	UEdin-run2	0.725	0.808	1.0
nl-en	oof	IUCL-run1	0.634	0.753	1.0
nl-en	oof	IUCL-run2	0.634	0.753	1.0
nl-en	oof	CNRC-run1	0.606	0.723	1.0
nl-en	oof	CNRC-run2	0.602	0.721	1.0
nl-en	oof	Sensible-wtmxlingyu	0.123	0.171	0.33528265107212474
nl-en	oof	Sensible-wtm	0.099	0.115	0.21442495126705652
nl-en	oof	Sensible-wtmxling	0.096	0.112	0.21442495126705652
